-------------------------------------
PISTA
Índice	Posição	Duplo	P_1	P_2
-------------------------------------
0	0	S	-	-
1	25	S	-	-
2	50	S	-	-
3	75	S	-	-
4	100	S	-	-
5	125	S	-	-
6	150	S	-	-
7	175	S	-	-
8	200	S	-	-
9	225	S	-	-
10	250	N	-	-
11	275	N	-	-
12	300	N	-	-
13	325	N	-	-
14	350	N	-	-
15	375	N	-	-
16	400	N	-	-
17	425	N	-	-
18	450	N	-	-
19	475	N	-	-
20	500	N	-	-
21	525	N	-	-
22	550	N	-	-
23	575	N	-	-
24	600	N	-	-
25	625	N	-	-
26	650	N	-	-
27	675	N	-	-
28	700	N	-	-
29	725	N	-	-
30	750	N	-	-
31	775	N	-	-
32	800	N	-	-
33	825	N	-	-
34	850	N	-	-
35	875	N	-	-
36	900	N	-	-
37	925	N	-	-
38	950	N	-	-
39	975	S	-	-
40	1000	S	-	-
41	1025	S	-	-
42	1050	S	-	-
43	1075	S	-	-
44	1100	S	-	-
45	1125	S	-	-
46	1150	S	-	-
47	1175	S	-	-
48	1200	S	-	-
49	1225	S	-	-
50	1250	S	-	-
51	1275	S	-	-
52	1300	S	-	-
53	1325	S	-	-
54	1350	S	-	-
55	1375	S	-	-
56	1400	S	-	-
57	1425	S	-	-
58	1450	S	-	-
59	1475	S	-	-
60	1500	N	-	-
61	1525	N	-	-
62	1550	N	-	-
63	1575	N	-	-
64	1600	N	-	-
65	1625	N	-	-
66	1650	N	-	-
67	1675	N	-	-
68	1700	N	-	-
69	1725	N	-	-
70	1750	N	-	-
71	1775	N	-	-
72	1800	N	-	-
73	1825	N	-	-
74	1850	N	-	-
75	1875	N	-	-
76	1900	N	-	-
77	1925	N	-	-
78	1950	N	-	-
79	1975	S	-	-
80	2000	S	-	-
81	2025	S	-	-
82	2050	S	-	-
83	2075	S	-	-
84	2100	S	-	-
85	2125	S	-	-
86	2150	S	-	-
87	2175	S	-	-
88	2200	S	-	-
89	2225	S	-	-
90	2250	N	-	-
91	2275	N	-	-
92	2300	N	-	-
93	2325	N	-	-
94	2350	N	-	-
95	2375	N	-	-
96	2400	N	-	-
97	2425	N	-	-
98	2450	N	-	-
99	2475	N	-	-
100	2500	N	-	-
101	2525	N	-	-
102	2550	N	-	-
103	2575	N	-	-
104	2600	N	-	-
105	2625	N	-	-
106	2650	N	-	-
107	2675	N	-	-
108	2700	N	-	-
109	2725	N	-	-
110	2750	N	-	-
111	2775	N	-	-
112	2800	N	-	-
113	2825	N	-	-
114	2850	N	-	-
115	2875	N	-	-
116	2900	N	-	-
117	2925	N	-	-
118	2950	N	-	-
119	2975	S	-	-
120	3000	S	-	-
121	3025	S	-	-
122	3050	S	-	-
123	3075	S	-	-
124	3100	S	-	-
125	3125	S	-	-
126	3150	S	-	-
127	3175	S	-	-
128	3200	S	-	-
129	3225	S	-	-
130	3250	N	-	-
131	3275	N	-	-
132	3300	N	-	-
133	3325	N	-	-
134	3350	N	-	-
135	3375	N	-	-
136	3400	N	-	-
137	3425	N	-	-
138	3450	N	-	-
139	3475	S	-	-
140	3500	S	-	-
141	3525	S	-	-
142	3550	S	-	-
143	3575	S	-	-
144	3600	S	-	-
145	3625	S	-	-
146	3650	S	-	-
147	3675	S	-	-
148	3700	S	-	-
149	3725	S	-	-
150	3750	S	-	-
151	3775	S	-	-
152	3800	S	-	-
153	3825	S	-	-
154	3850	S	-	-
155	3875	S	-	-
156	3900	S	-	-
157	3925	S	-	-
158	3950	S	-	-
159	3975	S	1	2
------------------------------------
BOXES
Índicif (pilots[i]->lap <= n)e	Posição	Duplo	P_1	P_2
------------------------------------
0	0	N	0	0
1	25	N	0	0
2	50	N	0	0
3	75	N	0	0
4	100	N	0	0
5	125	N	0	0
6	150	N	0	0
7	175	N	0	0
8	200	N	0	0
9	225	N	0	0
--------------------------------
PILOTOS
Id	Equipe	Posição	Índice
--------------------------------
1	1	3975	159
2	1	3975	159
[Foi dada a largada]
[Piloto 1 finalizou a corrida.]
[Piloto 2 finalizou a corrida.]
[Cancelando thread coordenadora.]
------------------------------------------
RELATÓRIO DOS PILOTOS
TEMPO = 15.0
Id	Equipe	Volta	Posição	Índice
------------------------------------------
1	1	2	0	0
2	1	2	0	0
--------------------------------
PILOTOS
Id	Equipe	Posição	Índice
--------------------------------
1	1	0	0
2	1	0	0
